Rank,Site,Article Count,Likes,Shares,Comments,FB Total
1,huffingtonpost.com,17940,27439265,7473639,7328801,42241705
2,buzzfeed.com,4437,20922787,6254824,6402095,33579706
3,playbuzz.com,1145,7567761,8627878,8483988,24679627
4,foxnews.com,62765,16638862,3392657,4569635,24601154
5,nbc.com,34124,11921538,2855673,3421010,18198221
6,abs-cbnnews.com,4122,14285560,783330,1303496,16372386
7,elitedaily.com,1335,7032714,2233076,2276509,11542299
8,conservativetribune.com,743,7248282,2090437,1669149,11007868
9,mtv.com,1485,9835901,570413,553560,10959874
10,mirror.co.uk,8389,8511914,866551,1220928,10599393
11,dailymail.co.uk,16053,6029074,2057852,2471488,10558414
12,theguardian.com,10457,5899411,2240095,2077688,10217194
13,espn.com,12518,7690473,919694,1570553,10180720
14,nytimes.com,7704,5998474,2189080,1769468,9957022
15,ijreview.com,1038,6456439,1575864,1661078,9693381
16,bbc.co.uk,29226,5669346,2162527,1830629,9662502
17,bleacherreport.com,7936,7733136,653766,797151,9184053
18,moviepilot.com,2487,7050735,876557,643619,8570911
19,iflscience.com,223,6091728,1259486,798446,8149660
20,comicbook.com,955,6731744,646723,738761,8117228
21,washingtonpost.com,8023,4576914,1539441,1528023,7644378
22,westernjournalism.com,658,4779166,1113223,960868,6853257
23,tpnn.com,412,4461129,1146941,1219996,6828066
24,cnn.com,8716,3381061,1742931,1460427,6584419
25,boredpanda.com,125,4448727,1058891,873460,6381078
