,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,Jule,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Publisher,Article Count,Likes,Shares,Comments,FB Total,Article Count,Likes,Shares,Comments,Total Facebook Interactions,Article Count,Likes,Shares,Comments,Total Facebook Interactions,Articles,Comments,Likes,Shares,Facebook Total,Article Count,Likes,Comments,Shares,Facebook Total,Article Count,Likes,Shares,Comments,Total Facebook,Article Count,Likes,Shares,Comments,Total FB,Article Count,Likes,Shares,Comments,FB Total,Article Count,Likes,Shares,Comments,FB Total,Article Count,Likes,Comments,Shares,Facebook Total,Article Count,Likes,Shares,Comments,FB Total,Article Count,Likes,Shares,Comments,FB Total
Eonline,,,,,,,,,,,,,,,,4797,404063,2542097,322437,3268597,4400,2611261,342033,314129,3267423,3688,3321882,320763,387124,4029769,,,,,,4195,5792776,420079,449179,6662034,4.148,6915533,454072,518343,7887948,4269,7681524,719059,561176,8961759,3733,6290258,398409,542823,7231490,,,,,
espn.com,6.346,2421740,630096,1378662,4430498,5692,1814910,424334,786122,3025366,,,,,,5720,888914,2184160,479303,3552377,5359,2441169,824158,418820,3684147,4382,2659573,442052,829404,3931029,4898,3360761,547818,1022166,4930745,,,,,,11.836,5568511,825285,1474161,7867957,14064,5483906,1478703,905655,7868264,13290,5793308,950773,1378911,8122992,12518,7690473,919694,1570553,10180720
foxnews.com,48.811,4200178,1828506,1970401,7999085,46219,4281867,1747524,1928641,7958032,,,,,,54842,3587994,8470954,3082066,15141014,57688,9050584,3225959,3006622,15283165,66909,12118773,3589668,3693999,19402440,67806,11015490,3086864,3115082,17217436,65755,15128078,3974203,4386428,23488709,68.217,16778581,4135853,4385914,25300348,72173,16719019,5704593,4843430,27267042,68174,15938055,3441549,4513391,23892995,62765,16638862,3392657,4569635,24601154
gmanetwork.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7558,5351479,499965,964055,6815499,7.798,6947833,596573,1081993,8626399,,,,,,,,,,,,,,,
goal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7525,6519570,165813,256965,6942348,7.13,6773280,135895,213397,7122572,,,,,,,,,,,,,,,
huffingtonpost.com,18.135,17404750,6757957,7401636,31564343,16724,17446850,6234543,6251652,29933045,,,,,,16904,5416775,16330167,6013946,27760888,19205,20022595,5997424,6880830,32900849,26264,28300712,9487502,8842648,46630862,26556,32596908,9297574,9168965,51063447,24574,35481498,9980827,9386718,54849043,25.172,35179920,9450454,8868622,53498996,24448,44019495,11855409,11598607,67473511,20483,30621081,8031933,8107548,46760562,17940,27439265,7473639,7328801,42241705
iflscience.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,5602739,1329765,940316,7872820,280,8618636,1996769,1307769,11923174,300,7569857,1601124,896084,10067065,273,6680651,1051747,1453501,9185899,263,7502698,1531565,1022254,10056517,223,6091728,1259486,798446,8149660
ijreview.com,421,4782156,1486402,1214372,7482930,511,5923204,1825124,1419750,9168078,,,,,,639,1985453,7629964,2406070,12021487,637,7942981,1941412,2438971,12323364,710,8400399,2539514,1969240,12909153,828,8644247,2705463,2390579,13740289,646,8852698,2827398,2328327,14008423,602,7090146,2085918,1769524,10945588,917,6735309,1654110,1884119,10273538,1147,9233836,2186135,2319426,13739397,1038,6456439,1575864,1661078,9693381
mashable.com,1.406,1958671,1001265,680302,3640238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirror.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,7546,2059967,717948,831219,3609134,8331,3745104,963046,1207588,5915738,8186,5411619,904050,1121574,7437243,8.449,8518221,1137085,1629059,11284365,9554,8805729,1615599,1205737,11627065,9348,10051368,1087407,1523804,12662579,8389,8511914,866551,1220928,10599393
