Rank,Publisher,Article Count,Tweets
1,bbc.co.uk,29226,3751694
2,nytimes.com,7704,2179163
3,mashable.com,1653,1600099
4,theguardian.com,10457,1188490
5,abcnews.com,11385,1060136
6,bleacherreport.com,7936,1035551
7,cnn.com,8716,965922
8,huffingtonpost.com,17940,900251
9,foxnews.com,62765,874266
10,nbc.com,34124,873504
11,telegraph.co.uk,11598,821220
12,buzzfeed.com,4437,819699
13,forbes.com,6007,752225
14,independent.co.uk,5459,671347
15,espn.com,12518,665529
16,washingtonpost.com,8023,643569
17,businessinsider.com,4542,629656
18,dailymail.co.uk,16053,626886
19,mtv.com,1485,586404
20,yahoo.com,94543,575336
21,billboard.com,1157,537634
22,indiatimes.com,35108,526499
23,complex.com,2081,511619
24,rt.com,2089,504069
25,ndtv.com,7047,480320
