Rank,Publisher,Article Count,Tweets
1,bbc.co.uk,22352,3392030
2,nytimes.com,8637,2354626
3,abcnews.com,11761,1677643
4,mashable.com,1698,1656521
5,cnn.com,10076,1307342
6,theguardian.com,11196,1265721
7,huffingtonpost.com,24574,1136686
8,forbes.com,6334,1128849
9,yahoo.com,110276,1001997
10,foxnews.com,65755,961409
11,nbc.com,36084,894472
12,telegraph.co.uk,13613,890322
13,buzzfeed.com,5112,849727
14,bleacherreport.com,8693,827064
15,wsj.com,7739,772921
16,washingtonpost.com,8830,734062
17,mtv.com,1999,711517
18,independent.co.uk,6616,672218
19,dailymail.co.uk,17419,669911
20,usatoday.com,12058,590422
21,rt.com,1283,582014
22,espn.com,5074,534060
23,businessinsider.com,3931,519757
24,time.com,2672,513760
25,indiatimes.com,34342,508282
