Rank,Publisher,Article Count,Tweets
1,BBC,14442,3123577
2,The New York Times,9016,2112842
3,Mashable,1604,1767630
4,ABC News,17406,1623797
5,CNN,8928,1245418
6,The Guardian,11521,1225781
7,Forbes,6082,958192
8,The Huffington Post,19205,834435
9,Fox News,57688,831383
10,Bleacher Report,10446,741375
11,BuzzFeed,3036,738144
12,NBC,22671,718125
13,Yahoo,115957,669149
14,Wall Street Journal,9476,662579
15,LA Times,5788,581927
16,Mail Online ,13724,568576
17,ESPN,5359,531268
18,TMZ,896,488797
19,Business Insider,3251,469860
20,Independent.co.uk,6035,461106
21,Time,3029,448055
22,India Times,23810,432944
23,MTV,1348,427369
24,NDTV,10109,423457
25,The Washington Post,8491,416799
