Rank,Publisher,Article Count,Tweets
1,bbc.co.uk,14928,3245304
2,nytimes.com,8990,2284778
3,mashable.com,1771,1834040
4,abcnews.com,13203,1803100
5,theguardian.com,12159,1324385
6,cnn.com,12001,1169156
7,forbes.com,6333,1028389
8,huffingtonpost.com,26263,933237
9,foxnews.com,66909,921001
10,bleacherreport.com,10538,842778
11,yahoo.com,122186,766928
12,nbc.com,29662,745722
13,buzzfeed.com,4026,740428
14,wsj.com,8839,684119
15,dailymail.co.uk,18323,652045
16,latimes.com,5654,522968
17,washingtonpost.com,8466,506873
18,time.com,3491,496888
19,businessinsider.com,3528,495077
20,espn.com,4381,488321
21,indiatimes.com,22431,445467
22,independent.co.uk,6840,445043
23,usatoday.com,10066,428071
24,fifa.com,897,422801
25,breitbart.com,3747,415951
