,Jan,,,Feb,,,Mar,,,Apr,,,May,,,14/06,,,14/07,,,14/08,,,14/09,,,14/10,,,14/11,,,14/12,,
,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,,Ratio,Shares,,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio
Mail Online ,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,568576,13724,41.4293208976975,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
mashable.com,1421044,1406,1010.69985775249,1459562,1404,1039.57407407407,1655541,1426,1160.96844319776,1829419,1645,1112.10881458967,1767630,1604,1102.01371571072,1834040,1771,1035.59570863919,1951710,1847,1056.6919328641,1656521,1698,975.571849234393,1856563,1877,989.111880660629,1816282,2156,842.431354359926,1775751,1848,960.904220779221,1600099,1653,967.996975196612
MTV,195956,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,427369,1348,317.039317507418,,,#DIV/0!,494990,1778,278.397075365579,711517,1999,355.936468234117,,,#DIV/0!,649020,2109,307.73826458037,538213,1783,301.858104318564,586404,1485,394.884848484848
nbcnews.com,604614,16758,36.0791263873971,639664,17298,36.9790727251705,778958,20341,38.2949707487341,750495,20394,36.7997940570756,718125,22671,31.6759296016938,745722,29662,25.1406513384128,859846,35377,24.3052265596291,894472,36084,24.7886043675867,954239,39096,24.4075864538572,952660,41619,22.8900261899613,925409,38300,24.1621148825065,873504,34124,25.5979369358809
NDTV,217923,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,457325,8755,52.2358652198744,423457,10109,41.8891087150064,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,646150,9329,69.262514738986,590942,7631,77.4396540427205,,,#DIV/0!,480320,7047,68.1595004966652
nytimes.com,,7678,0,1280818,7127,179.713483934334,1836429,8015,229.124017467249,1997272,7853,254.332357060996,2112842,9016,234.343611357587,2284778,8990,254.146607341491,2476791,9246,267.877027903958,2354626,8637,272.620817413454,2420402,9268,261.156883901597,2597804,9416,275.892523364486,2221533,8431,263.495789348832,2179163,7704,282.861240913811
rt.com,240797,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,571846,1466,390.072305593452,582014,1283,453.635229929852,,,#DIV/0!,549224,1919,286.203230849401,567368,1998,283.967967967968,504069,2089,241.296792723791
techcrunch.com,,1123,0,458158,1131,405.091069849691,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
telegraph.co.uk,,9037,0,501454,12942,38.7462525112038,592653,13694,43.2782970644078,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,888507,15966,55.6499436302142,890322,13613,65.4023360023507,895292,14450,61.9579238754325,936743,17795,52.6407979769598,908918,17644,51.5142824756291,821220,11598,70.8070356958096
The Independent,339359,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,391714,6231,62.8653506660247,461106,6035,76.4053024026512,445043,6840,65.0647660818713,692636,6891,100.513133072123,672218,6616,101.604897218863,597918,6581,90.8551891809755,745902,6751,110.487631462006,820948,6324,129.8146742568,671347,5459,122.979849789339
